Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
05/12/2019,4.0,3.5,4.2,3.8,3.4,4.6,4.8,3.7,3.4,3.1,2.7,2.2,2.6,2.7,3.2,2.7,3.5,3.7,4.8,7.5,10.0,14.8,12.8,10.2
05/13/2019,10.4,5.9,9.5,6.7,8.5,8.7,8.8,7.9,6.9,5.4,4.5,2.4,2.7,3.7,3.4,3.9,4.4,5.8,6.1,7.7,8.3,8.8,6.7,6.3
05/14/2019,10.1,9.0,9.5,8.7,10.5,12.9,23.9,18.2,9.8,12.1,10.8,10.3,9.3,8.3,6.8,6.8,9.2,10.3,9.2,7.5,9.9,10.5,9.4,12.6
05/15/2019,11.5,11.2,11.0,12.2,13.0,12.8,15.4,15.0,12.2,8.9,9.2,8.6,7.6,7.8,7.5,7.4,8.3,8.0,8.4,10.0,9.3,10.2,8.1,8.0
05/16/2019,8.1,9.3,9.8,9.8,9.9,9.5,9.3,3.4,6.8,8.4,9.8,10.8,11.4,8.9,8.7,9.8,9.3,8.0,7.6,10.5,10.6,9.8,10.4,7.9
05/17/2019,9.1,9.9,10.1,10.5,10.6,11.3,11.0,8.6,8.8,8.2,9.2,7.5,7.6,7.8,8.7,8.6,10.0,10.3,11.1,10.4,12.1,12.4,11.6,12.2
05/18/2019,12.8,11.9,11.4,11.1,11.2,11.7,11.3,10.8,11.0,12.4,9.7,2.9,2.9,3.7,6.7,9.1,10.7,12.8,14.2,9.1,15.7,18.5,17.1,19.4
05/19/2019,20.4,22.7,17.7,16.5,9.8,2.7,5.1,3.9,4.4,4.7,3.2,3.9,1.8,4.4,3.2,2.3,3.7,6.0,6.2,6.1,8.0,7.9,6.8,4.0
05/20/2019,4.2,5.7,15.3,15.7,15.8,17.1,17.3,18.0,20.1,20.0,23.0,26.1,24.5,21.7,15.9,14.7,14.5,10.8,15.2,13.2,10.5,13.6,13.2,10.5
05/21/2019,12.2,12.7,20.3,18.1,13.9,5.0,8.2,9.7,10.9,11.7,7.2,1.3,8.2,2.0,4.3,3.8,4.0,4.1,5.0,7.6,7.2,7.4,15.9,12.3
05/22/2019,10.5,8.4,11.2,19.1,23.7,22.8,26.4,30.2,36.9,44.1,45.1,37.2,32.1,23.6,22.6,21.2,19.7,17.4,16.9,15.7,19.3,20.3,20.3,19.1
05/23/2019,19.3,21.1,19.6,17.4,15.7,16.5,17.8,18.4,19.2,15.8,13.9,14.7,11.8,12.3,12.2,13.8,15.5,13.4,15.7,17.6,21.2,20.9,20.4,18.0
05/24/2019,18.0,18.0,17.1,16.3,15.1,16.4,15.6,15.2,14.5,12.8,12.1,11.3,11.5,11.8,11.4,9.6,12.8,10.3,14.6,13.8,12.3,11.9,11.3,9.7
05/25/2019,10.5,10.0,9.9,8.9,8.8,9.0,10.1,10.6,9.9,8.9,10.8,13.2,12.4,11.0,12.1,13.5,14.0,14.6,14.7,14.1,12.7,11.0,9.8,9.1
05/26/2019,9.0,8.7,9.6,9.5,9.4,9.7,10.6,8.7,8.9,8.0,8.5,8.1,9.3,7.6,8.3,8.3,8.0,8.9,10.5,9.1,11.0,11.8,10.1,7.6
05/27/2019,11.4,11.9,8.8,10.6,10.8,9.7,10.6,9.6,8.0,8.3,8.7,7.8,9.0,10.5,9.0,10.2,10.5,10.4,9.1,10.9,12.4,11.6,9.8,10.3
05/28/2019,11.9,11.5,11.8,9.6,13.1,12.9,15.5,14.4,12.6,12.5,12.7,13.6,12.5,13.5,12.4,12.3,12.1,9.4,14.5,17.0,15.8,14.1,11.8,10.4
05/29/2019,8.3,7.3,7.4,9.0,10.5,10.8,11.0,13.3,11.1,14.9,9.9,9.5,9.4,1.3,2.1,3.5,3.8,5.1,3.4,4.9,2.2,4.8,3.2,2.5
05/30/2019,3.2,4.8,2.9,3.9,4.2,2.8,5.1,4.7,5.0,AQI,5.4,3.7,3.4,5.1,5.0,2.7,2.8,5.7,7.9,9.0,9.3,11.3,13.4,15.3
05/31/2019,18.0,13.3,13.7,13.5,9.1,19.0,30.7,21.1,6.8,3.4,6.2,3.3,7.5,6.5,6.2,4.0,3.9,7.3,6.4,8.6,11.5,9.8,10.2,7.9
06/01/2019,7.5,8.4,8.4,8.5,9.5,10.0,13.3,11.9,11.7,11.4,7.9,6.9,6.5,14.6,10.2,9.0,9.8,7.7,10.7,3.5,4.4,8.3,8.8,5.2
06/02/2019,5.3,1.8,0.6,7.6,9.4,4.0,4.5,1.7,12.1,9.0,6.3,7.6,10.4,6.2,8.0,5.1,7.7,7.4,7.8,10.0,11.7,15.1,16.3,14.8
06/03/2019,14.6,12.2,11.2,11.2,15.8,17.3,17.4,15.9,12.5,5.9,3.2,4.5,QAS,AQI,16.0,16.9,14.6,14.1,13.8,12.9,11.2,12.9,14.7,13.0
06/04/2019,13.3,10.0,9.1,11.1,11.2,12.1,10.9,10.5,8.6,11.3,10.4,9.4,9.7,6.3,7.7,9.0,8.1,7.3,7.4,7.0,7.7,8.8,7.6,8.3
06/05/2019,10.6,11.7,9.9,9.5,7.7,5.7,9.1,8.6,9.0,8.8,7.7,3.8,1.8,0.9,1.4,1.9,1.7,3.5,4.7,3.3,3.4,4.0,5.3,6.2
06/06/2019,2.7,1.8,0.3,3.2,5.3,14.0,8.4,7.7,6.9,4.8,4.7,1.9,2.4,2.4,2.7,3.6,3.2,3.6,6.4,7.2,6.2,7.4,6.9,6.6
06/07/2019,6.7,6.4,5.0,6.4,4.8,6.3,7.4,3.5,2.9,3.8,4.6,3.9,3.2,2.2,2.5,3.4,3.6,4.7,6.6,9.3,11.7,12.4,14.4,11.6
06/08/2019,10.4,11.0,11.4,12.1,12.1,12.5,14.3,13.3,10.3,8.6,5.3,5.4,6.0,6.0,5.1,4.6,7.2,6.3,6.6,7.2,9.0,13.7,10.1,8.0
06/09/2019,6.8,6.9,7.4,7.1,7.4,6.9,7.0,7.4,8.1,8.8,11.1,9.6,14.4,2.5,2.7,8.2,11.5,9.8,11.3,9.2,9.9,10.4,9.1,10.3
06/10/2019,6.9,5.3,7.0,5.3,5.0,3.1,4.1,4.3,4.2,4.0,4.8,3.3,3.1,3.8,3.4,3.8,3.9,4.9,5.3,7.5,9.2,8.5,7.3,6.8
06/11/2019,8.7,8.0,9.3,10.1,11.7,12.9,12.2,10.0,7.4,6.2,7.1,6.0,6.8,6.5,7.5,9.4,5.7,7.2,8.5,9.1,11.8,8.6,8.7,9.9
06/12/2019,10.6,11.6,15.0,11.7,13.3,19.8,15.5,20.9,15.5,9.6,11.7,9.3,8.3,10.0,7.4,4.6,4.9,4.9,5.0,4.7,7.4,8.3,8.4,7.0
06/13/2019,9.2,6.3,7.8,7.6,7.5,10.8,12.1,12.1,7.0,5.1,3.2,2.7,3.3,1.9,2.6,2.8,4.2,5.1,8.0,8.9,6.7,7.3,6.5,6.7
06/14/2019,7.6,7.1,6.6,7.4,6.9,9.7,9.2,9.6,11.3,13.2,11.0,12.4,11.5,14.3,14.2,13.0,14.4,14.4,13.8,13.6,13.4,11.8,10.1,8.5
06/15/2019,6.7,7.4,5.9,5.7,5.6,7.4,7.2,6.3,6.5,6.0,4.1,3.7,4.8,6.6,7.4,8.5,5.4,5.6,5.0,6.4,5.5,8.2,12.4,13.5
06/16/2019,13.9,8.6,4.4,2.6,3.4,3.1,3.2,4.3,3.6,4.9,7.5,8.8,9.4,9.3,4.3,3.3,5.7,5.2,9.7,8.5,7.3,4.7,1.4,2.0
06/17/2019,1.8,2.8,2.0,3.8,3.8,14.3,16.6,7.7,7.5,6.5,5.7,6.4,7.4,7.9,6.5,5.9,4.9,4.3,5.5,8.5,9.7,15.2,13.8,10.9
06/18/2019,8.5,8.7,11.0,10.8,11.0,10.7,10.4,8.4,5.5,2.5,9.5,3.4,5.8,7.0,7.4,5.7,5.2,6.4,5.6,6.9,6.4,7.9,9.8,7.1
06/19/2019,9.0,11.7,4.8,5.8,6.0,8.2,9.1,8.0,7.9,11.3,13.1,13.9,15.0,14.8,15.0,13.2,14.2,16.9,17.3,20.6,13.3,14.6,13.8,10.4
06/20/2019,6.0,3.0,5.3,5.7,6.6,10.6,15.5,17.9,15.3,16.1,17.7,18.6,16.9,18.4,18.9,18.4,20.2,17.8,17.9,16.1,16.5,17.3,13.3,13.0
06/21/2019,14.3,16.3,18.1,20.5,21.4,16.7,16.9,15.6,12.8,13.0,12.0,13.1,14.4,15.8,16.4,15.8,16.6,15.5,14.3,17.9,11.4,10.2,10.2,11.5
06/22/2019,11.6,12.9,14.2,16.5,19.3,21.0,20.0,20.0,15.9,10.7,6.9,11.5,11.8,9.7,9.7,11.4,11.0,10.0,13.5,12.5,15.2,14.0,14.6,13.7
06/23/2019,14.5,15.5,17.2,19.2,16.1,13.2,12.6,9.2,8.6,9.8,10.6,11.3,10.8,9.7,7.2,5.8,7.6,13.0,15.6,13.0,AQI,4.6,12.4,6.0
06/24/2019,6.6,6.0,6.3,4.5,8.1,7.6,8.5,8.4,7.4,8.8,10.3,11.2,13.3,14.0,15.1,10.9,11.6,11.0,8.8,7.6,8.7,6.8,8.6,7.2
06/25/2019,6.1,4.4,7.1,9.1,10.5,7.3,7.9,7.8,7.5,8.4,8.6,6.0,6.7,6.5,11.7,7.9,8.6,11.2,10.0,12.1,12.7,11.2,5.2,5.2
06/26/2019,6.1,7.7,7.2,10.0,10.1,10.5,10.0,13.3,15.5,19.8,22.5,23.8,26.8,25.0,23.1,24.1,23.4,26.7,25.6,26.8,21.6,17.8,15.0,13.8
06/27/2019,12.6,12.8,13.5,13.6,18.2,17.8,17.4,14.4,15.7,17.6,17.0,18.3,18.9,17.2,19.8,21.1,22.6,22.3,20.6,20.2,13.1,15.3,16.7,15.2
06/28/2019,14.4,14.1,11.7,11.7,13.1,15.2,15.1,16.2,15.2,11.0,11.9,11.6,11.3,10.5,10.6,11.7,12.2,13.9,15.6,17.4,19.0,23.6,20.8,20.9
06/29/2019,19.3,19.3,20.1,22.4,23.1,23.9,22.5,21.2,19.2,20.4,21.7,19.7,17.5,13.8,10.9,10.9,8.4,17.6,34.4,9.6,12.4,9.2,9.8,5.2
